customer_id,tenure_months,annual_revenue,engagement_score,support_tickets,feature_adoption,industry,contract_length_months,churn_probability,action_taken,churned,segment,upsell_propensity,nba_action,action_cost,expected_value
1,39,5000,76,1,0.4386067681513587,Retail,36,0.3606168877440458,none,0,MediumRisk_LowValue_HighEngagement,,none,0,0.0
2,52,15000,8,2,0.16620349020181324,Finance,36,0.25869843073880366,none,1,LowRisk_LowValue_LowEngagement,0.19858351195705806,none,0,0.0
3,29,100000,20,2,0.7459800310936227,Finance,24,0.5247587367104649,none,1,MediumRisk_MediumValue_LowEngagement,,none,0,0.0
4,15,5000,71,0,0.028268547029593572,Finance,24,0.7412193606960393,retention_email,1,HighRisk_LowValue_LowEngagement,,retention_email,50,1950.0
5,43,5000,80,3,0.4145101037907329,Healthcare,36,0.18806271949358994,none,0,LowRisk_LowValue_HighEngagement,0.8223109266866996,upsell_offer,100,1133.4663900300493
6,8,15000,15,2,0.11681496448381763,Retail,36,0.9179933805458571,retention_email,1,HighRisk_LowValue_LowEngagement,,retention_email,50,5950.0
7,21,50000,15,2,0.254452149878174,Retail,36,0.583418850312464,none,1,MediumRisk_MediumValue_LowEngagement,,none,0,0.0
8,39,15000,27,1,0.432025404772079,Retail,12,0.4280242086574935,none,1,MediumRisk_LowValue_LowEngagement,,none,0,0.0
9,58,5000,50,2,0.14852585923997788,Healthcare,12,0.24345948699830805,none,0,LowRisk_LowValue_LowEngagement,0.4003873344366668,none,0,0.0
10,19,100000,55,4,0.25987006056766926,Tech,36,0.6274146986206818,retention_call,0,HighRisk_MediumValue_LowEngagement,,retention_call,500,79500.0
11,23,15000,79,2,0.18927136626166408,Tech,12,0.4463501814863194,none,0,MediumRisk_LowValue_HighEngagement,,none,0,0.0
12,11,5000,56,0,0.1825048342173996,Healthcare,12,0.6840404386413791,retention_email,1,HighRisk_LowValue_LowEngagement,,retention_email,50,1950.0
13,11,5000,51,1,0.07504281558110397,Finance,24,0.8998570163631272,retention_email,1,HighRisk_LowValue_LowEngagement,,retention_email,50,1950.0
14,24,15000,45,1,0.3154201121258721,Finance,12,0.7417906009807342,retention_email,0,HighRisk_LowValue_LowEngagement,,retention_email,50,5950.0
15,53,5000,77,2,0.30567374376415457,Retail,36,0.10486107171229261,none,0,LowRisk_LowValue_HighEngagement,0.6624719404717768,upsell_offer,100,893.7079107076652
16,36,5000,37,2,0.18218649336259593,Retail,12,0.4386857669801848,none,0,MediumRisk_LowValue_LowEngagement,,none,0,0.0
17,40,50000,83,4,0.25515519535659836,Retail,12,0.3322223736456213,none,1,MediumRisk_MediumValue_HighEngagement,,none,0,0.0
18,24,5000,47,6,0.46744411269577923,Tech,24,0.6862177072568646,retention_email,1,HighRisk_LowValue_LowEngagement,,retention_email,50,1950.0
19,3,50000,40,2,0.023117102592482563,Finance,12,1.0,retention_call,0,HighRisk_LowValue_LowEngagement,,retention_call,500,39500.0
20,22,5000,97,2,0.10293974212280192,Finance,12,0.28793385854697806,none,1,LowRisk_LowValue_HighEngagement,0.5234378350158551,none,0,0.0
21,53,50000,58,1,0.04423110589171095,Tech,36,0.21625160234013913,none,1,LowRisk_MediumValue_LowEngagement,0.6361855500572764,none,0,0.0
22,2,50000,92,0,0.16945892576190352,Healthcare,12,0.6137625461875327,retention_call,0,HighRisk_LowValue_HighEngagement,,retention_call,500,39500.0
23,24,5000,66,2,0.1442797937158512,Retail,24,0.6042322660057617,retention_email,1,HighRisk_LowValue_LowEngagement,,retention_email,50,1950.0
24,44,15000,73,1,0.43196915318406026,Healthcare,24,0.2771162360482591,none,1,LowRisk_LowValue_LowEngagement,0.8058965635492095,none,0,0.0
25,30,5000,83,2,0.4191649228438758,Healthcare,24,0.4698753598475197,none,1,MediumRisk_LowValue_HighEngagement,,none,0,0.0
26,38,50000,65,3,0.23341486696161443,Retail,36,0.4372141323481108,none,0,MediumRisk_MediumValue_LowEngagement,,none,0,0.0
27,2,50000,26,2,0.6278995463045278,Healthcare,12,0.9820816107535261,retention_call,0,HighRisk_LowValue_LowEngagement,,retention_call,500,39500.0
28,21,15000,31,1,0.1243880987950322,Healthcare,12,0.6654524268896205,retention_email,0,HighRisk_LowValue_LowEngagement,,retention_email,50,5950.0
29,33,15000,55,3,0.2894083085423417,Retail,12,0.5001375585218777,none,1,MediumRisk_LowValue_LowEngagement,,none,0,0.0
30,12,5000,9,2,0.5785332935635162,Healthcare,24,0.6986669194566363,retention_email,1,HighRisk_LowValue_LowEngagement,,retention_email,50,1950.0
31,58,50000,39,1,0.10192151012162577,Finance,24,0.06949850599388624,none,0,LowRisk_MediumValue_LowEngagement,0.2363406746436245,none,0,0.0
32,22,5000,16,5,0.33200610613303877,Finance,24,0.7877226620666629,retention_email,1,HighRisk_LowValue_LowEngagement,,retention_email,50,1950.0
33,44,5000,57,3,0.44435862648469304,Healthcare,36,0.3094991590715426,none,0,MediumRisk_LowValue_LowEngagement,,none,0,0.0
34,25,15000,96,2,0.19882489491896269,Healthcare,24,0.4042878305660571,none,1,MediumRisk_LowValue_HighEngagement,,none,0,0.0
35,49,5000,5,1,0.13270488568018798,Retail,24,0.36631893137851756,none,0,MediumRisk_LowValue_LowEngagement,,none,0,0.0
36,27,50000,38,3,0.029285066030180353,Healthcare,36,0.535606685022666,none,1,MediumRisk_MediumValue_LowEngagement,,none,0,0.0
37,59,5000,17,1,0.1338796579461646,Healthcare,36,0.2499155544014796,none,1,LowRisk_LowValue_LowEngagement,0.24219831030760333,none,0,0.0
38,42,15000,72,2,0.3099552698767433,Tech,36,0.20048998439163374,none,0,LowRisk_LowValue_LowEngagement,0.7179107309144187,none,0,0.0
39,28,5000,71,1,0.16517601304046758,Retail,12,0.4988771191107232,none,1,MediumRisk_LowValue_LowEngagement,,none,0,0.0
40,16,5000,88,2,0.5558771449945031,Healthcare,24,0.536920327494534,none,1,MediumRisk_LowValue_HighEngagement,,none,0,0.0
41,15,15000,94,1,0.10134260277930769,Tech,12,0.5653776531176993,none,1,MediumRisk_LowValue_HighEngagement,,none,0,0.0
42,47,100000,41,2,0.10601335686092297,Finance,24,0.3706076452014714,none,1,MediumRisk_HighValue_LowEngagement,,none,0,0.0
43,51,50000,3,3,0.371421210762602,Finance,36,0.20344902517197916,none,0,LowRisk_MediumValue_LowEngagement,0.544151110064849,none,0,0.0
44,44,5000,19,2,0.5060747015355949,Finance,12,0.5296367135558167,none,0,MediumRisk_LowValue_LowEngagement,,none,0,0.0
45,55,5000,27,1,0.33231834657092757,Finance,24,0.1825231348866458,none,1,LowRisk_LowValue_LowEngagement,0.4434791962814567,none,0,0.0
46,52,50000,39,4,0.1799547591478471,Retail,36,0.1712013685828419,none,0,LowRisk_MediumValue_LowEngagement,0.29809824961467707,none,0,0.0
47,57,15000,64,3,0.13586564308169252,Finance,24,0.40027316653356615,none,1,MediumRisk_LowValue_LowEngagement,,none,0,0.0
48,3,5000,43,0,0.20722723763838877,Healthcare,36,0.8793174824818947,retention_email,1,HighRisk_LowValue_LowEngagement,,retention_email,50,1950.0
49,37,50000,22,1,0.32701997903085767,Tech,36,0.5707038352300743,none,0,MediumRisk_MediumValue_LowEngagement,,none,0,0.0
50,51,50000,56,0,0.11099350273865781,Healthcare,24,0.1825245044844751,none,0,LowRisk_MediumValue_LowEngagement,0.5494183327007626,none,0,0.0
51,7,100000,46,1,0.2909154934340292,Retail,12,0.7286802842160552,retention_call,1,HighRisk_MediumValue_LowEngagement,,retention_call,500,79500.0
52,21,100000,12,2,0.10594473781491857,Retail,36,0.6408915291087115,retention_call,0,HighRisk_MediumValue_LowEngagement,,retention_call,500,79500.0
53,9,50000,15,4,0.40671555632380285,Retail,24,0.8644166901388083,retention_call,0,HighRisk_LowValue_LowEngagement,,retention_call,500,39500.0
54,39,5000,89,1,0.32451991378375356,Retail,36,0.06824484670568537,none,0,LowRisk_LowValue_HighEngagement,0.7786405970464094,upsell_offer,100,1067.960895569614
55,18,5000,54,2,0.35698678588135657,Tech,36,0.6032965456641964,retention_email,1,HighRisk_LowValue_LowEngagement,,retention_email,50,1950.0
56,4,15000,94,4,0.10720516476686343,Finance,12,0.7013590954536195,retention_email,1,HighRisk_LowValue_HighEngagement,,retention_email,50,5950.0
57,25,15000,64,2,0.23086214504805644,Tech,12,0.6250792436830555,retention_email,0,HighRisk_LowValue_LowEngagement,,retention_email,50,5950.0
58,14,15000,80,2,0.6107940148723552,Healthcare,36,0.4569067108287479,none,0,MediumRisk_LowValue_HighEngagement,,none,0,0.0
59,50,5000,15,2,0.28919123668378194,Retail,24,0.48476424955071995,none,0,MediumRisk_LowValue_LowEngagement,,none,0,0.0
60,58,15000,36,5,0.5404687337508036,Tech,24,0.23462976350461867,none,0,LowRisk_LowValue_LowEngagement,0.35163923634260724,none,0,0.0
61,9,15000,51,2,0.382376346373294,Healthcare,12,0.5937083414601927,none,1,MediumRisk_LowValue_LowEngagement,,none,0,0.0
62,26,5000,9,0,0.26319269820434366,Tech,36,0.6825347883822346,retention_email,1,HighRisk_LowValue_LowEngagement,,retention_email,50,1950.0
63,53,5000,37,3,0.10538224266205123,Retail,24,0.33086583186184887,none,0,MediumRisk_LowValue_LowEngagement,,none,0,0.0
64,2,15000,43,4,0.23185615856405115,Tech,24,0.9419361652441802,retention_email,1,HighRisk_LowValue_LowEngagement,,retention_email,50,5950.0
65,20,50000,94,3,0.19944887308703585,Retail,24,0.47337429580884766,none,0,MediumRisk_MediumValue_HighEngagement,,none,0,0.0
66,28,5000,73,2,0.503339891396638,Finance,24,0.5338139839354052,none,1,MediumRisk_LowValue_LowEngagement,,none,0,0.0
67,47,15000,53,2,0.2989817391748706,Finance,24,0.2291732233096755,none,1,LowRisk_LowValue_LowEngagement,0.642653883700713,none,0,0.0
68,7,50000,97,5,0.25978202969106884,Retail,36,0.6785407634176538,retention_call,0,HighRisk_LowValue_HighEngagement,,retention_call,500,39500.0
69,44,15000,50,2,0.23028320939826338,Tech,36,0.34939766234239006,none,0,MediumRisk_LowValue_LowEngagement,,none,0,0.0
70,8,5000,51,3,0.361718155451625,Healthcare,36,0.6843313480613206,retention_email,0,HighRisk_LowValue_LowEngagement,,retention_email,50,1950.0
71,47,15000,69,4,0.15778502902816444,Tech,24,0.20715826700131823,none,0,LowRisk_LowValue_LowEngagement,0.6034836196499144,none,0,0.0
72,35,5000,91,2,0.29794341405881825,Healthcare,36,0.4863416593130873,none,0,MediumRisk_LowValue_HighEngagement,,none,0,0.0
73,14,100000,91,1,0.37642761282218273,Retail,12,0.510893724392036,none,1,MediumRisk_MediumValue_HighEngagement,,none,0,0.0
74,17,5000,58,3,0.5427868749698491,Healthcare,36,0.6906887103703679,retention_email,1,HighRisk_LowValue_LowEngagement,,retention_email,50,1950.0
75,36,15000,12,2,0.40038275827074976,Retail,24,0.5578346551561599,none,0,MediumRisk_LowValue_LowEngagement,,none,0,0.0
76,50,5000,40,1,0.3322310992789311,Healthcare,36,0.32745428448301517,none,1,MediumRisk_LowValue_LowEngagement,,none,0,0.0
77,40,15000,11,2,0.5802546852434908,Retail,12,0.63147166337141,retention_email,0,HighRisk_LowValue_LowEngagement,,retention_email,50,5950.0
78,4,15000,49,1,0.07512292812030631,Healthcare,12,0.9109185170581375,retention_email,1,HighRisk_LowValue_LowEngagement,,retention_email,50,5950.0
79,2,5000,56,3,0.35153893001638287,Healthcare,24,0.7653496435636311,retention_email,0,HighRisk_LowValue_LowEngagement,,retention_email,50,1950.0
80,6,15000,49,2,0.6453940423054267,Healthcare,36,0.8900715613226361,retention_email,0,HighRisk_LowValue_LowEngagement,,retention_email,50,5950.0
